风险等级,金融信息关注程度a4002a,风险和汇报组合选择a4003,股票和基金风险更大a4007,银行储蓄卡数量d1103,活期存款余额d1105,定期存款总额d2104_imp,是否持有基金d5102,是否拥有银行理财产品d7102,去年平均每月伙食费g1001,伙食费中在外就餐花费g1002,去年平均每月购买日常用品支出g1006,去年平均每月本地交通支出g1008_imp,去年每月通信费支出g1009_imp,去年平均每月文化娱乐支出g1010_imp,去年购买衣物支出g1011_imp,去年旅游总支出g1018_imp,去年平均每月水/电/燃料费/物业g1005,asset,total_income_imp,金融信息/银行储蓄卡,金融信息/伙食费,风险汇报选择/旅游
3,3,3,1,2,30000,50000,1,1,,,300,700,450,350.000061,10000.00293,4999.999512,200,3121571,116000,1.499925004,3000000,0.0006
3,3,4,1,5,152500,852500,1,1,3000,,125,5999.999512,149.9999695,199.9999542,2999.999023,0,150,9005656,112000,0.599988,0.999999667,40000
0,4,5,1,2,6000,2000,2,2,1000,0,300,149.9999695,199.9999542,29.99999809,1000.000061,0,300,36080.11719,56880,1.999900005,3.999996,50000
1,5,5,1,2,10000,100000,2,2,2000,500,200,149.9999695,229.9999847,149.9999695,1999.999878,0,170,2272857,110500,2.499875006,2.49999875,50000
3,3,3,1,3,70000,50000,2,2,2000,1200,100,1999.999878,149.9999695,300.0000305,10000.00293,4999.999512,400,3423154.75,23431,0.999966668,1.49999925,0.0006
3,1,2,1,3,70000,300000,2,1,1500,0,800,500.0000305,599.999939,199.9999542,1999.999878,10000.00293,450,5470950,235000,0.333322223,0.666666222,0.0002
3,4,4,1,2,5000,50000,2,2,2000,1000,,50,199.9999542,0,1999.999878,0,0,125800,54000,1.999900005,1.999999,40000
0,5,5,1,2,16500,300000,2,2,500,0,200,383.9999695,399.9999695,99.99999237,2999.999023,4999.999512,200,392971.4375,248100,2.499875006,9.99998,0.001
2,3,4,1,4,30000,400000,1,2,2500,500,200,0,54.99999237,80.00000763,1000.000061,1499.999756,350,3384550,145700,0.74998125,1.19999952,0.002666667
0,3,3,1,3,25000,20000,2,2,2000,400,300,199.9999542,300.0000305,199.9999542,1999.999878,0,500,747020,127480,0.999966668,1.49999925,30000
2,3,3,1,6,300000,300000,2,1,2000,1000,200,199.9999542,300.0000305,84.99998474,4000.001953,11999.99707,400,3130570.75,169500,0.499991667,1.49999925,0.00025
2,2,4,2,3,20000,100000,2,1,3000,1000,500,20.00000191,178.0000458,90,4000.001953,4999.999512,375,2837432.75,89100,0.666644445,0.666666444,0.0008
2,3,4,1,,,115000,1,2,2500,0,12,4,202.0000458,37,1499.999756,0,270,1900653.5,90500,30000,1.19999952,40000
0,5,5,5,4,0,250000,,2,4000,250,200,399.9999695,260,20.00000191,1999.999878,15000.00391,295,1887747.125,235100,1.249968751,1.249999688,0.000333333
2,3,1,1,4,25000,150000,1,1,2000,1000,,1000.000061,300.0000305,99.99999237,10000.00293,10000.00293,1000,2736063,299300,0.74998125,1.49999925,1.00E-04
0,3,4,2,2,50000,50000,2,2,3000,200,500,2499.999512,399.9999695,240.0000153,10000.00293,0,1000,2637000,12150,1.499925004,0.999999667,40000
4,2,1,1,5,,50000,2,2,3000,1500,150,1200.000122,399.9999695,40,800.0001221,0,400,3113103,74300,0.399992,0.666666444,10000
0,5,5,1,3,,230000,2,2,2200,1000,200,1000.000061,324.999939,199.9999542,4999.999512,1999.999878,300,3039088,155041,1.666611113,2.27272624,0.0025
0,3,5,2,1,5000,80000,2,2,2000,500,500,199.9999542,99.99999237,20.00000191,800.0001221,0,100,1133451.875,67000,2.99970003,1.49999925,50000
0,5,5,4,2,0,175000,,2,3000,550,200,199.9999542,149.9999695,110.0000153,10000.00293,0,100,1082573.5,29500,2.499875006,1.666666111,50000
0,3,5,2,,,40000,2,2,3000,1000,250,75,149.9999695,50,700,0,300,1110571.25,62000,30000,0.999999667,50000
2,3,5,1,0,25000,50000,2,1,5500,500,500,149.9999695,199.9999542,179.9999542,10000.00293,800.0001221,300,1185616.25,106100,30000,0.545454446,0.006249998
1,3,5,1,2,200000,200000,2,1,3000,2000,200,833.000061,149.9999695,199.9999542,4999.999512,0,200,2322700,183300,1.499925004,0.999999667,50000
2,4,5,2,0,2500,30000,2,1,2500,500,200,350.000061,319.9999695,120.0000153,4000.001953,2999.999023,300,1432836.625,90500,40000,1.59999936,0.001666667
0,4,5,1,2,25000,15000,2,2,10000,1000,20,250.0000305,300.0000305,87.00000763,2499.999512,0,400,1193757.5,-33400,1.999900005,0.39999996,50000
2,3,5,1,7,50000,900000,1,1,2000,0,100,0,51.99999619,45,800.0001221,4999.999512,400,2889883.75,216300,0.428565306,1.49999925,0.001
0,5,5,,4,0,500000,2,2,3000,0,,500.0000305,399.9999695,99.99999237,11999.99707,4999.999512,350,1580376.25,145615,1.249968751,1.666666111,0.001
0,3,5,1,1,45000,65000,2,2,2000,0,200,199.9999542,199.9999542,20.00000191,1000.000061,0,300,1213500,48000,2.99970003,1.49999925,50000
2,4,5,1,2,10000,100000,2,1,3000,650,200,99.99999237,199.9999542,199.9999542,10000.00293,4999.999512,400,1027000,112652,1.999900005,1.333332889,0.001
0,3,5,,,0,155000,2,,2000,300,45,99.99999237,149.9999695,99.99999237,2499.999512,0,300,1478025,70096,30000,1.49999925,50000
0,5,5,5,2,0,30000,,2,2000,1000,50,99.99999237,29.99999809,20.00000191,2499.999512,2999.999023,200,861615,77850,2.499875006,2.49999875,0.001666667
2,2,3,1,6,7500,20000,1,2,2000,200,500,1499.999756,300.0000305,399.9999695,8000.000488,0,200,247100,45180,0.333327778,0.9999995,30000
0,5,5,1,0,,30000,2,2,,,,50,99.99999237,0,0,0,250,62200,56250,50000,5000000,50000
4,3,5,1,3,30000,50000,1,2,1500,500,200,300.0000305,110.0000153,108.0000229,1000.000061,20000.00391,93,712002.6875,97500,0.999966668,1.999998667,0.00025
2,3,5,1,4,10000,200000,2,1,1500,350,30,0,130.0000153,170.9999695,199.9999542,0,90,1161503.5,108400,0.74998125,1.999998667,50000
1,1,5,1,2,0,200000,2,1,3000,300,200,0,50,99.99999237,1000.000061,0,300,835274.1875,104691,0.499975001,0.333333222,50000
3,1,3,1,4,15000,50000,2,1,5000,1000,300,599.999939,149.9999695,1000.000061,4999.999512,45000.01563,300,4893510,196850,0.24999375,0.19999996,6.67E-05
0,3,4,1,5,1000,150000,2,1,3500,1500,100,99.99999237,120.0000153,20.00000191,300.0000305,10000.00293,200,1705002.5,116000,0.599988,0.857142612,0.0004
0,5,5,1,2,0,20000,2,2,2000,0,300,40,50,24.99999809,0,0,240,23180,65080,2.499875006,2.49999875,50000
1,3,2,1,2,100000,100000,2,2,2000,0,150,0,130.0000153,50,11999.99707,10000.00293,300,1281501,72455,1.499925004,1.49999925,0.0002
0,4,5,2,0,0,200000,2,2,4000,350,150,0,120.0000153,59.99998856,500.0000305,0,150,227110.2344,124600,40000,0.99999975,50000
0,5,5,1,,,100000,2,2,1000,300,13,0,18,29.99999809,29.99999809,0,100,1043000,58839,50000,4.999995,50000
0,3,5,,4,0,42000,2,2,1000,200,50,0,10.00000095,20.00000191,199.9999542,0,100,157122.9844,49200,0.74998125,2.999997,50000
0,4,5,5,,,200000,,2,2400,200,150,0,99.99999237,50,0,1999.999878,100,288055,64600,40000,1.666665972,0.0025
0,3,5,1,2,0,100000,2,2,2000,0,100,0,99.99999237,149.9999695,1000.000061,0,220,136050,60600,1.499925004,1.49999925,50000
1,4,5,1,5,100,300000,1,2,5000,2000,300,1000.000061,300.0000305,149.9999695,2999.999023,0,375,1884384.125,146800,0.799984,0.79999984,50000
0,3,5,5,,,30000,,2,3000,500,500,199.9999542,59.99998856,20.00000191,399.9999695,0,265,544548,50800,30000,0.999999667,50000
4,3,4,1,5,20000,20000,2,2,3000,1500,300,99.99999237,149.9999695,50,1999.999878,0,200,999500,277500,0.599988,0.999999667,40000
0,5,5,5,2,0,500000,,2,4000,200,150,99.99999237,99.99999237,24.99999809,1000.000061,0,250,1687750,124450,2.499875006,1.249999688,50000
3,3,4,1,,,50000,2,2,1500,650,20,10.00000095,29.99999809,65.00000763,99.99999237,0,75,1117850,32040,30000,1.999998667,40000
0,3,5,1,0,2000,30000,2,2,2500,0,160,0,549.999939,24.99999809,1999.999878,0,350,877276.4375,78350,30000,1.19999952,50000
2,3,5,1,2,22500,30000,1,2,2000,225,200,250.0000305,199.9999542,99.99999237,350.000061,3499.999512,200,957100,24900,1.499925004,1.49999925,0.001428572
0,5,5,1,1,0,22500,2,2,725,0,20,0,99.99999237,70.00001526,149.9999695,0,150,626443.5,44250,4.99950005,6.896542212,50000
2,4,5,1,0,5000,100000,2,2,1500,100,20,20.00000191,99.99999237,70.00001526,1499.999756,0,113,1292000,59000,40000,2.666664889,50000
0,4,3,,2,10000,20000,2,2,1000,500,500,500.0000305,300.0000305,1999.999878,4999.999512,4999.999512,150,1898100,165800,1.999900005,3.999996,0.0006
1,3,5,1,3,30000,300000,2,1,2000,1000,1000,500.0000305,199.9999542,500.0000305,4999.999512,0,1000,3343000,440000,0.999966668,1.49999925,50000
0,2,5,1,2,0,100000,2,2,1200,200,100,0,149.9999695,95,0,639.999939,335,2165023.25,61550,0.999950002,1.666665278,0.0078125
0,4,5,,2,4500,50000,2,2,600,150,35,58.00000381,27.00000191,75.99999237,599.999939,0,150,316287.7813,55530,1.999900005,6.666655556,50000
0,3,3,1,2,5000,10000,2,2,500,0,50,99.99999237,99.99999237,199.9999542,599.999939,0,300,142500,50985,1.499925004,5.999988,30000
0,3,5,5,,,10000,,2,400,0,50,99.99999237,20.00000191,0,500.0000305,0,120,122500,7200,30000,7.49998125,50000
0,5,5,4,2,0,20000,,2,,,240,0.838416278,99.99999237,0.670277655,300.0000305,0,80,465839.9375,42610,2.499875006,5000000,50000
0,3,4,5,,,15000,,2,150,6,100,0,20.00000191,0,199.9999542,0,30,80935.11719,20666,30000,19.99986667,40000
0,5,5,5,3,30000,30000,,2,500,0,20,0,399.9999695,0,1999.999878,0,70,197820,63155,1.666611113,9.99998,50000
0,4,5,5,2,10000,5000,,2,250,0,30,20.00000191,300.0000305,0,800.0001221,0,70,195969.7031,11985,1.999900005,15.999936,50000
0,3,4,1,0,12000,50000,2,2,1000,300,10,5,20.00000191,0,800.0001221,0,70,135500,-44240,30000,2.999997,40000
0,1,4,1,2,3000,15000,2,2,900,100,20,40,20.00000191,0,599.999939,0,100,474000,5290,0.499975001,1.111109877,40000
0,4,5,5,2,3000,5000,,2,150,50,30,0,50,0,2999.999023,0,100,300240,12020,1.999900005,26.66648889,50000
0,3,1,1,4,80000,10000,2,2,1500,1000,200,0,99.99999237,50,4999.999512,0,300,525120,10720,0.74998125,1.999998667,10000
0,5,5,1,3,30000,400000,2,2,2000,0,0,0,0,120.0000153,0,32000.00977,388,1151043,108000,1.666611113,2.49999875,0.00015625
0,3,4,1,3,10000,165000,2,2,1000,0,100,54.99999237,50,32.00000381,749.999939,0,155,498702,76600,0.999966668,2.999997,40000
0,4,3,1,0,25000,35000,2,2,2000,100,,57.96521378,9.158327103,2.070665598,0,0,200,60800,49137,40000,1.999999,30000
2,3,2,1,4,5000,30000,2,2,1000,500,300,1000.000061,99.99999237,300.0000305,4999.999512,1999.999878,500,1172660,122100,0.74998125,2.999997,0.001
0,4,4,1,,,14000,2,2,600,0,100,0,10.00000095,10.00000095,199.9999542,0,240,324077,42964,40000,6.666655556,40000
1,3,5,1,6,100000,100000,2,2,1000,700,100,599.999939,199.9999542,58.00000381,4000.001953,12999.99512,200,1099316.375,60270,0.499991667,2.999997,0.000384616
0,3,5,5,1,1000,10000,,2,800,0,100,800.0001221,250.0000305,0,4999.999512,0,200,349000,48325,2.99970003,3.749995313,50000
0,3,5,,2,0,40000,2,2,1000,300,350,0,220.0000305,75,549.999939,2499.999512,300,457899.5,42211,1.499925004,2.999997,0.002
0,3,3,1,2,21000,20000,2,2,10000,4000,500,300.0000305,149.9999695,0,1000.000061,0,300,595659.875,166031,1.499925004,0.29999997,30000
0,5,5,1,10,10000,100000,2,2,1000,0,100,199.9999542,99.99999237,50,2999.999023,0,200,1338170.5,132800,0.499995,4.999995,50000
0,4,4,,2,4000,200000,2,2,3000,1000,50,0,29.99999809,99.99999237,1000.000061,0,100,440390.3125,56600,1.999900005,1.333332889,40000
0,4,4,1,1,6000,35000,2,2,1000,0,300,0,99.99999237,82.99998474,1999.999878,0,100,347100,3565,3.99960004,3.999996,40000
0,5,4,3,5,3000,90000,2,2,1200,0,10,0,99.99999237,50,1000.000061,0,200,355594.875,93300,0.99998,4.166663194,40000
0,5,5,5,2,10000,35000,,2,350,0,10,0,10.00000095,33,0,0,83,530127.125,1440,2.499875006,14.28567347,50000
1,4,4,5,5,5000,100000,,1,300,0,30,0,10.00000095,99.99999237,1000.000061,0,200,391699.75,25599,0.799984,13.33328889,40000
0,5,4,5,1,1200,2000,,2,200,0,0,0,0,0,0,0,20,3700,1450,4.99950005,24.999875,40000
0,3,5,5,2,13000,180000,,2,1500,0,50,1040,50,99.99999237,1999.999878,0,160,836937.125,101900,1.499925004,1.999998667,50000
0,3,1,5,0,10000,20000,,2,600,0,50,0,59.99998856,20.00000191,199.9999542,0,120,175000,6320,30000,4.999991667,10000
0,4,5,5,1,20000,100000,,2,1500,0,30,1000.000061,81,77.99999237,1000.000061,0,120,547024.75,58000,3.99960004,2.666664889,50000
0,3,5,1,2,10000,30000,2,2,1000,300,20,0,149.9999695,75,500.0000305,0,200,356860.5625,19000,1.499925004,2.999997,50000
0,5,5,1,,,10000,2,2,1500,0,30,0,50,59.99998856,199.9999542,0,100,264917.9375,34380,50000,3.333331111,50000
0,3,5,5,1,1000,30000,,2,200,0,50,40,50,0,1999.999878,0,100,59946.44531,114050,2.99970003,14.999925,50000
0,5,5,5,1,1100,30000,,2,300,0,10,0,29.99999809,0,199.9999542,0,125,63289.1875,23390,4.99950005,16.66661111,50000
0,3,5,5,1,7000,20000,,2,500,0,30,29.99999809,20.00000191,0,1000.000061,0,100,36977.50781,2500,2.99970003,5.999988,50000
0,4,6,5,1,2000,6000,,2,400,50,0,0,50,18,199.9999542,0,0,45260,7070,3.99960004,9.999975,60000
0,3,5,4,1,10000,20000,,2,50,0,5,29.99999809,50,0,800.0001221,0,40,44409.75,12490,2.99970003,59.99880002,50000
0,4,5,1,,,80000,2,2,200,0,50,29.99999809,70.00001526,40,1999.999878,0,100,342105.625,117600,40000,19.9999,50000
0,4,5,4,1,1500,15000,,2,200,100,100,0,59.99998856,59.99998856,300.0000305,0,200,39995.8125,13800,3.99960004,19.9999,50000
1,3,5,1,1,6000,40000,2,1,600,0,50,59.99998856,50,9,1499.999756,0,150,156300,2520,2.99970003,4.999991667,50000
0,3,5,1,1,5000,10000,2,2,700,400,30,70.00001526,40,9,1000.000061,0,80,76500,-5190,2.99970003,4.285708163,50000
0,5,3,5,1,2000,55000,,2,500,0,10,10.00000095,35.99999619,9,500.0000305,0,60,108536.5391,40730,4.99950005,9.99998,30000
0,5,5,5,,,10000,,2,300,0,200,0,27.99999809,9,399.9999695,0,113,42364.23438,9540,50000,16.66661111,50000
1,4,5,5,2,12500,80000,,2,1250,550,125,50,149.9999695,73.00000763,2749.999756,0,150,365275,73500,1.999900005,3.19999744,50000
0,5,5,,5,200000,200000,2,2,3500,1750,125,0,625.0001221,68.99999237,0,0,225,761075.75,115200,0.99998,1.42857102,50000
0,3,2,5,0,45000,35000,,2,900,0,0,0,20.00000191,10.00000095,0,0,97,142508.0469,48000,30000,3.33332963,20000
1,5,1,2,,,500000,2,2,2000,0,100,0,149.9999695,17,399.9999695,0,225,1543036.5,114000,50000,2.49999875,10000
0,3,3,1,3,5000,200000,2,2,2000,500,100,99.99999237,149.9999695,99.99999237,10000.00293,4999.999512,200,2140300,103000,0.999966668,1.49999925,0.0006
0,4,5,5,1,5500,45000,,2,2000,0,100,40,50,15,1999.999878,0,85,257322.5,59100,3.99960004,1.999999,50000
0,5,5,1,3,20000,30000,2,2,3000,100,50,549.999939,199.9999542,0,1999.999878,0,180,1073449.875,85300,1.666611113,1.666666111,50000
0,3,5,1,2,20000,20000,2,2,1700,600,200,199.9999542,199.9999542,114.9999924,800.0001221,1999.999878,200,307340,68100,1.499925004,1.764704844,0.0025
0,3,4,1,1,12500,75000,2,2,1250,,27,50,149.9999695,15,1000.000061,0,81,414599.9688,26929,2.99970003,2.39999808,40000
0,5,5,5,,,25000,,2,100,0,10,10.00000095,99.99999237,0,1499.999756,1299.999878,220,261380,9530,50000,49.9995,0.003846154
0,4,5,1,1,2000,1500,2,2,225,25,10,5.999999523,20.00000191,5,199.9999542,0,64,515600,1680,3.99960004,17.77769877,50000
0,3,4,1,,,20000,2,2,2000,0,150,10.00000095,99.99999237,20.00000191,800.0001221,0,200,1049559.5,101524,30000,1.49999925,40000
0,3,4,1,10,0,70000,2,2,2000,300,50,99.99999237,149.9999695,47.99999619,1999.999878,0,290,680210,80500,0.299997,1.49999925,40000
0,3,3,1,,,30000,2,2,600,0,10,10.00000095,20.00000191,20.00000191,500.0000305,1999.999878,110,533611.625,102010,30000,4.999991667,0.0015
0,5,5,5,2,500,12000,,2,1200,200,100,199.9999542,199.9999542,59.99998856,4000.001953,0,220,678146.5,46517,2.499875006,4.166663194,50000
0,4,5,4,,,40000,,2,1500,0,100,29.99999809,250.0000305,75,4999.999512,0,150,365000,20914,40000,2.666664889,50000
0,5,5,1,2,1000,100000,2,2,2000,1000,200,99.99999237,130.0000153,80.00000763,4999.999512,800.0001221,130,670202.125,27240,2.499875006,2.49999875,0.006249998
0,4,5,4,4,1853,100000,,2,2000,800,200,199.9999542,99.99999237,80.00000763,5999.999512,300.0000305,100,478540.125,55730,0.999975001,1.999999,0.016666659
0,3,5,4,4,40000,10000,,2,2400,1900,110,0,130.0000153,59.99998856,5999.999512,0,100,780645.875,189610,0.74998125,1.249999479,50000
0,4,5,1,1,9000,30000,2,2,500,0,200,199.9999542,149.9999695,1000.000061,2999.999023,0,300,268992.125,88575,3.99960004,7.999984,50000
0,4,5,5,,,15000,,2,100,0,50,29.99999809,15,0,1999.999878,0,70,901587.5625,12980,40000,39.9996,50000
0,4,5,1,0,0,30000,2,2,1000,0,20,0,54.99999237,0,0,0,90,244500,9500,40000,3.999996,50000
0,4,4,5,3,5000,50000,,2,1000,0,10,0,0,0,199.9999542,0,15,150420,4300,1.33328889,3.999996,40000
0,3,6,1,3,5000,30000,2,2,1500,500,1500,11.02324295,300.0000305,90,4999.999512,0,260,423180,86725,0.999966668,1.999998667,60000
0,3,5,1,1,50000,150000,2,2,650,80,100,2100.000488,99.99999237,90,4000.001953,4999.999512,130,1271600,16760,2.99970003,4.615377515,0.001
0,4,6,1,2,30000,50000,2,2,1000,600,400,1000.000061,120.0000153,159.9999695,1999.999878,0,240,609400,40140,1.999900005,3.999996,60000
0,3,1,1,5,5000,130000,2,2,1300,500,40,300.0000305,149.9999695,45,4999.999512,1499.999756,3000,1422515,77471,0.599988,2.307690533,0.000666667
0,4,4,1,,,80000,2,2,300,100,100,50,35,0,0,0,35,526062.3125,24466,40000,13.33328889,40000
0,4,5,2,6,4000,20000,2,2,1000,0,300,99.99999237,35,64.00001526,4500.000488,0,50,627000.375,42100,0.666655556,3.999996,50000
0,3,3,2,3,6000,50000,2,2,500,200,20,10.00000095,35,50,2999.999023,0,60,340438.3125,33150,0.999966668,5.999988,30000
0,3,5,1,0,2000,70000,2,2,1500,100,100,50,50,70.00001526,500.0000305,0,180,336500,22875,30000,1.999998667,50000
0,5,5,5,1,10000,200000,,2,800,0,30,20.00000191,29.99999809,24.00000191,1000.000061,0,135,702000,51800,4.99950005,6.249992188,50000
0,5,5,1,3,20000,150000,2,2,3000,200,200,199.9999542,199.9999542,189,2999.999023,1999.999878,155,698500,115700,1.666611113,1.666666111,0.0025
0,3,5,1,10,20000,80000,2,2,2000,0,300,300.0000305,20.00000191,50,99.99999237,0,260,204853.7813,49400,0.299997,1.49999925,50000
3,4,3,2,3,120000,40000,2,2,2400,500,0,240.0000153,199.9999542,0,4000.001953,9000.000977,298,774689.3125,76500,1.33328889,1.666665972,0.000333333
0,4,5,2,0,20000,50000,2,2,1500,167,42,24.99999809,166.9999695,24.00000191,1999.999878,0,130,278419.1875,81000,40000,2.666664889,50000
0,3,4,1,2,10000,30000,2,2,2000,500,300,199.9999542,250.0000305,59.99998856,2999.999023,0,220,198790,45375,1.499925004,1.49999925,40000
0,3,5,1,,,100000,2,2,2000,500,100,50,99.99999237,75,0,1000.000061,200,283400,57400,30000,1.49999925,0.004999999
0,4,3,5,1,3000,5000,,2,1500,400,150,149.9999695,99.99999237,74.00000763,1999.999878,0,200,169000,40823,3.99960004,2.666664889,30000
0,4,4,4,2,0,50000,,2,1200,0,30,50,50,0,1000.000061,0,100,202380,44520,1.999900005,3.333330556,40000
0,5,5,5,,,15000,,2,1000,0,40,0,99.99999237,50,0,0,70,15950,10250,50000,4.999995,50000
0,5,5,,2,4000,50000,2,2,3000,1000,120,29.99999809,199.9999542,24.00000191,2999.999023,0,189,368301.25,59300,2.499875006,1.666666111,50000
0,2,5,1,2,7000,150000,2,2,800,150,30,29.99999809,50,20.00000191,99.99999237,0,160,287728.8125,89000,0.999950002,2.499996875,50000
0,5,5,5,2,4000,80000,,2,1500,750,150,99.99999237,99.99999237,50,1999.999878,0,113,231900,72400,2.499875006,3.333331111,50000
0,4,4,1,2,20000,20000,2,2,1500,200,500,620.000061,300.0000305,500.0000305,2999.999023,1000.000061,700,702000,109000,1.999900005,2.666664889,0.003999999
0,4,5,1,2,8000,120000,2,2,3500,1000,,300.0000305,250.0000305,24.00000191,8000.000488,0,146,463900,117200,1.999900005,1.142856816,50000
0,4,3,2,3,2000,10000,2,2,1500,300,200,199.9999542,80.00000763,164.9999695,1999.999878,0,200,227450,300,1.33328889,2.666664889,30000
3,3,4,1,4,50000,10000,1,2,1700,700,100,99.99999237,199.9999542,240.0000153,500.0000305,500.0000305,310,241500,7700,0.74998125,1.764704844,0.007999998
0,5,5,4,,,30000,,2,1500,150,50,10.00000095,50,42.00000381,749.999939,0,140,123660,47750,50000,3.333331111,50000
0,2,5,1,1,5000,50000,2,2,1400,200,200,50,70.00001526,54.00000381,1999.999878,0,160,269515,63300,1.99980002,1.428570408,50000
0,1,5,1,2,5000,50000,2,2,1000,0,50,10.00000095,20.00000191,24.00000191,1000.000061,1999.999878,150,253027.9688,44000,0.499975001,0.999999,0.0025
0,5,3,,3,81,15000,2,2,1500,500,60,60.12189865,18,82.99998474,700,0,83,124281,45300,1.666611113,3.333331111,30000
2,3,5,2,3,10000,50000,2,1,2500,500,500,300.0000305,149.9999695,500.0000305,1000.000061,4999.999512,100,865300,100000,0.999966668,1.19999952,0.001
0,4,5,,,,60000,2,2,2000,308,0,0,99.99999237,24.00000191,250.0000305,500.0000305,253,819680,70615,40000,1.999999,0.009999997
